57340.876285 57340.943218 0.011694 0.027349
57341.004190 57341.971609 0.012208 0.010396
57342.032650 57343.000012 0.004897 0.010281
57343.061146 57343.964132 0.010938 0.010038
57344.025324 57344.992546 0.021181 0.009644
57345.053773 57345.956713 0.010305 0.009870
57346.018009 57346.985127 0.009469 0.008895
57347.046435 57347.949236 0.014346 0.009413
57348.074861 57348.977674 0.004152 0.009525
57349.039039 57349.941817 0.021870 0.009080
57350.003484 57350.970255 0.028370 0.009991
57351.031644 57351.998738 0.023010 0.013139
57352.060231 57352.963669 -0.011908 0.013662
57353.025139 57353.992882 -0.028149 0.013066
57354.054352 57354.957743 -0.003616 0.015046
57355.019190 57355.986400 0.026165 0.015408
57356.048449 57356.951574 0.056902 0.011521
57357.013287 57357.980961 0.084655 0.010690
57358.043125 57358.945787 0.131818 0.012027
57359.007269 57359.974954 0.139106 0.011861
57360.036424 57360.939745 0.149678 0.012969
57361.001204 57361.968831 0.196038 0.012748
57362.030347 57362.997894 0.216287 0.013642
57363.059387 57363.962650 0.220635 0.014045
57364.024097 57364.991655 0.169925 0.013346
57365.053125 57365.956331 0.247625 0.015061
57366.017766 57366.984491 0.270302 0.016924
57367.368183 57367.885069 0.166270 0.015104
57368.332986 57368.656944 0.001757 0.013771
57369.361840 57369.621181 0.015325 0.014599
57370.326343 57370.585880 -0.002146 0.014524
57371.355081 57371.550012 -0.009937 0.016967
57372.319236 57372.451088 -0.010404 0.020518
57373.348021 57373.478947 -0.032951 0.021361
57374.312407 57374.379421 -0.030366 0.028133
57375.308171 57375.311331 -0.026343 0.028251
57379.449201 57379.450984 -0.017702 0.033925
57389.091412 57389.159896 -0.034512 0.023110
57390.054398 57390.123785 -0.003372 0.021085
57391.016991 57391.986400 0.008282 0.017629
57392.043773 57392.949942 0.002347 0.013953
57393.006435 57393.977326 -0.011135 0.010690
57394.033009 57395.003993 -0.033745 0.009207
57395.059444 57395.966331 0.009210 0.009825
57396.021782 57396.094618 -0.016730 0.025692
57397.820671 57397.955243 -0.024929 0.022174
57398.011435 57398.982535 0.028525 0.010182
57399.039306 57399.945752 0.061094 0.011408
57400.003218 57400.973438 0.037424 0.011626
57401.031366 57402.001354 0.036256 0.011192
57402.060023 57402.965104 0.016369 0.012145
57403.024167 57403.993229 0.179222 0.015378
57404.053426 57404.905845 0.292399 0.020009
57405.802662 57405.985521 0.528391 0.031032
57406.046134 57406.949664 0.526338 0.024543
57407.010370 57407.978113 0.524490 0.022716
57408.039144 57408.942326 0.335088 0.020459
57409.003194 57409.970868 0.389730 0.020599
57410.031667 57410.356562 0.348680 0.026702
57412.796146 57412.992396 0.411580 0.035174
57413.053322 57413.956771 0.412665 0.019979
57414.017766 57414.985440 0.295223 0.015856
57415.046609 57415.950139 0.246321 0.014449
57416.011308 57416.979120 0.266132 0.014737
57417.040336 57417.943808 0.209629 0.013833
